"","logFC","logCPM","PValue","FDR"
"Solyc04g015030.2.1",1.77699052481359,6.34312132272322,1.83053138379333e-09,3.45347207858576e-08
"Solyc01g080040.2.1",1.77668248820492,2.97952233263323,2.55275912080746e-06,2.42496260829996e-05
"Solyc11g007250.1.1",1.77627730592971,2.40994409840946,2.30467062128857e-07,2.85328919174209e-06
"Solyc10g085800.1.1",1.7762655808023,3.28040942767901,7.01650598061588e-09,1.19233824963932e-07
"Solyc11g012390.1.1",1.77501383812851,0.230558015136724,9.3297804955296e-05,0.000569998653389999
"Solyc05g055820.2.1",1.77497463541064,2.39242411138539,4.31939641440458e-06,3.83264142479626e-05
"Solyc06g082780.2.1",1.77468608351232,6.48361261319374,1.37326035177877e-05,0.000107853357515086
"Solyc02g082860.2.1",1.77457008622193,6.16287763828277,4.42928552477668e-06,3.92476783406342e-05
"Solyc03g116740.2.1",1.7744784959547,6.68023408610094,4.98181411401593e-10,1.02316739113375e-08
"Solyc05g052110.2.1",1.77436049398342,9.05514145388813,5.10356971396209e-07,5.82782443046313e-06
"Solyc01g098300.1.1",1.77382289101633,2.32423044336181,2.90786826047818e-06,2.71397094237714e-05
"Solyc03g111290.1.1",1.7726002433637,2.77474318346035,2.99956144724858e-06,2.79273292050851e-05
"Solyc09g008320.2.1",1.77138895644797,6.66129122760046,1.17808009069713e-09,2.30600131063847e-08
"Solyc02g067170.1.1",1.77136165473598,0.684722615475307,6.42425243519331e-05,0.000413393087498191
"Solyc12g017480.1.1",1.77083610976174,4.72089706819127,1.51074312572589e-05,0.00011732551810182
"Solyc09g091140.2.1",1.76928544752023,0.55168663970625,4.6376112147176e-05,0.000312120135613564
"Solyc04g009790.2.1",1.76694203375039,7.55683218803355,2.10427057344927e-08,3.24204642212893e-07
"Solyc07g005570.2.1",1.76680866294936,7.36440874605696,6.4267306149071e-06,5.47680635351351e-05
"Solyc03g020070.2.1",1.76673476930939,0.572914452279554,0.000198588083465939,0.0010858568950106
"Solyc03g031730.2.1",1.76625317187736,0.894565048160818,1.08412834060836e-05,8.75430773034019e-05
"Solyc03g006360.2.1",1.7654495849866,7.13105548030528,1.18672876403785e-05,9.45631975539851e-05
"Solyc02g080250.1.1",1.7652558832702,3.02000790270156,1.55808371913907e-06,1.56223770108258e-05
"Solyc08g079890.1.1",1.76472010829907,3.62917134286078,1.3020687664762e-07,1.69623847653212e-06
"Solyc08g007320.2.1",1.76390127299135,4.79915315894818,2.64696940533453e-05,0.00019174021196015
"Solyc08g069040.2.1",1.76349724203582,5.23944673649035,3.32589038640975e-10,7.08442445261153e-09
"Solyc02g081890.2.1",1.76336235397408,4.18460614080785,7.3291214369033e-08,1.00620810822261e-06
